药名,性味,归经
白术,苦，甘，温,脾，胃
山药,甘，平,脾，肺，肾
刺五加,辛，微苦，温,脾，肾，心
绞股蓝,苦，甘，寒,脾，肺
红景天,甘，涩，寒,脾，肺
白扁豆,甘，微温,脾，胃
甘草,甘，平,心，肺，脾，胃
大枣,甘，温,脾，胃
饴糖,甘，温,脾，胃，肺
蜂蜜,甘，平,肺脾，大肠
鹿茸,甘，咸，温,肾，肝
巴戟天,甘，辛，微温,肾，肝
淫羊藿,辛，甘，温,肝，肾
仙茅,辛，热，有毒,肾，肝，脾
补骨脂,辛，苦，温,肾，脾
益智,辛，温,肾，脾
海狗肾,咸，热,肾
雄蚕蛾,咸，温,肝，肾
海马,甘，咸，温,肾，肝
肉苁蓉,甘，咸，温,肾，大肠
锁阳,甘，温,肝，肾，大肠
冬虫夏草,甘，平,肺，肾，大肠
紫河车,甘，咸，温,心，肺，肾
蛤蚧,咸，平,肺，肾
菟丝子,甘，温,肝，肾，脾 
沙苑子,甘，温,肝，肾
杜仲,甘，温,肝，肾
续断,苦，甘，辛，微温,肝，肾
韭菜子,辛，甘，温,肾，肝
阳起石,咸，温,肾
核桃仁,甘，温,肾，肺，大肠
葫芦巴,苦，温,肝，肾
当归,甘，辛，温,肝，心，脾
熟地黄,甘，微温,肝，肾
白芍,苦，酸，甘，微寒,肝，脾
何首乌,制首乌甘，涩，微温,肝，肾
何首乌,生首乌甘，苦，平,心，肝，大肠
阿胶,甘，平,肺，肝，肾
龙眼肉,甘，温,心，脾
北沙参,甘，微苦，微寒,肺，胃
南沙参,甘，微寒,肺，胃
麦冬,甘，微苦，微寒,心，肺，胃
天冬,甘，苦，寒,肺，肾
百合,甘，微寒,肺，心
石斛,甘，微寒,胃，肾
玉竹,甘，微寒,肺，胃
黄精,甘，平,脾，肺，肾
枸杞子,甘，平,肝，肾
桑椹,甘，寒,肝，肾
银耳,甘，平,肺，胃
墨旱莲,甘，酸，寒,肝，肾
女贞子,甘，苦，凉,肝，肾
黑芝麻,甘，平,肝，肾，大肠
龟甲,甘，咸，寒,肝，肾，心
鳖甲,咸，寒,肝，肾
麻黄根,甘，平,肺
浮小麦,甘，凉,心
糯稻根须,甘，平,心，肝，肺
五味子,酸，甘，温,肺，肾，心
乌梅,酸，涩，平,肝，脾，肺，大肠
五倍子,酸，涩，寒,肺，大肠，肾
罂粟壳,酸，涩，平，有毒,肺，大肠，肾
诃子,苦，酸，涩，平,肺，大肠
石榴皮,酸，涩，温,大肠
肉豆蔻,辛，温,脾，胃，大肠
赤石脂,甘，酸，涩，温,大肠，胃
禹余粮,甘，涩，平,胃，大肠
山茱萸,酸，微温,肝，肾
覆盆子,甘，酸，微温,肝，肾
桑螵蛸,甘，咸，平,肝，肾
金樱子,酸，涩，平,肾，膀胱，大肠
莲子,甘，涩，平,脾，肾，心
芡实,甘，涩，平,脾，肾
海螵蛸,咸，涩，微温,肝，肾
常山,苦，辛，寒，有毒,肺，心，肝
瓜蒂,苦，寒，有毒,胃
胆矾,酸，涩，辛，寒，有毒,肝，胆
藜芦,辛，苦，寒，有毒,肺，胃，肝
雄黄,辛，温，有毒,心，肝，胃
硫磺,酸，温，有毒,肾，大肠
白矾,酸，涩，寒,肺，脾，肝，大肠
蛇床子,辛，苦，温,肾
土荆皮,辛，温，有毒,肺，脾
木槿皮,甘，苦，凉,大肠，肝，脾
蜂房,甘，平，有毒,肝，胃
大蒜,辛，温,脾，胃，肺
樟脑,辛，热，有毒,心，脾
炉甘石,甘，平,肝，胃
硼砂,甘，咸，凉,肺，胃
升药,辛，热，有大毒,肺，脾
轻粉,辛，寒，有大毒,肺，大肠
砒石,辛，热，有大毒,肺，肝
铅丹,辛，微寒，有毒,心，肝
密陀僧,咸，辛，平，有毒,肝，脾
